location,year,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Afghanistan,2023,1046223.0,39391.0,73318080.0,65677195.0,62083848.0,2581456.0
Albania,2021,5734400.0,88850.0,61047226.0,31212610.0,27858373.0,1976243.0
Albania,2022,13084945.0,162797.0,130080958.0,60305268.0,56642157.0,12866516.0
Albania,2023,999200.0,10788.0,9148138.0,4034412.0,3820341.0,1159653.0
Algeria,2021,628454.0,18110.0,36231674.0,20153626.0,16019160.0,58888.0
Algeria,2022,1067290.0,27485.0,57950235.0,30982325.0,25554270.0,2094453.0
Andorra,2021,41170.0,272.0,232955.0,113713.0,101943.0,17299.0
Andorra,2022,771148.0,2755.0,2744081.0,1041567.0,961655.0,739027.0
Andorra,2023,47839.0,159.0,156766.0,57903.0,53492.0,43049.0
Angola,2022,2153550.0,40181.0,453663845.0,287696670.0,157023323.0,20071174.0
Angola,2023,420870.0,7728.0,97163182.0,60976997.0,33717815.0,6620803.0
Anguilla,2021,4189.0,10.0,59928.0,30028.0,27592.0,2308.0
Anguilla,2022,65202.0,203.0,505770.0,232555.0,216556.0,56005.0
Anguilla,2023,3904.0,12.0,24474.0,10853.0,10377.0,3003.0
Antigua and Barbuda,2022,9008.0,145.0,136512.0,64290.0,62384.0,9838.0
Argentina,2020,4996474.0,144375.0,104487.0,104468.0,16.0,3.0
Argentina,2021,1471656467.0,33764294.0,10755683176.0,6633887532.0,3643053274.0,160006764.0
Argentina,2022,3360109943.0,46899447.0,37589131313.0,14983966822.0,12502328518.0,9119571728.0
Argentina,2023,661760362.0,8605069.0,7546010518.0,2736068112.0,2298574941.0,2324740470.0
Armenia,2021,344481.0,7943.0,1626738.0,934028.0,692082.0,628.0
Armenia,2022,4259485.0,91189.0,21387950.0,11577250.0,9620111.0,217920.0
Australia,2021,16193464.0,166362.0,3101683187.0,1613657162.0,1446972730.0,41053295.0
Australia,2022,268062735.0,527658.0,5093006766.0,2130425211.0,2009175076.0,953406479.0
Australia,2023,11309388.0,19078.0,63681652.0,22236698.0,21654488.0,19790466.0
Austria,2021,34482954.0,629519.0,384724810.0,204049581.0,165515762.0,23123177.0
Austria,2022,221146032.0,1024857.0,981102644.0,357397403.0,345230833.0,269781939.0
Austria,2023,46314854.0,173823.0,163247943.0,55185939.0,53450178.0,43214392.0
Azerbaijan,2021,30658461.0,409975.0,554133508.0,264778598.0,238032377.0,51322533.0
Azerbaijan,2022,115266033.0,1437108.0,2005715122.0,811854691.0,735324688.0,432556679.0
Bahamas,2021,23240.0,713.0,300214.0,157041.0,147365.0,6954.0
Bahamas,2022,831347.0,19085.0,8229332.0,4018517.0,3813815.0,670905.0
Bahrain,2021,3076711.0,15334.0,35029597.0,13203282.0,12921485.0,8904830.0
Bahrain,2022,135866253.0,338533.0,780240662.0,280366494.0,276544790.0,223329378.0
Bangladesh,2022,230821900.0,3438059.0,30998764746.0,15073978498.0,12811132770.0,3148094536.0
Bangladesh,2023,30563016.0,441643.0,5238253888.0,2260829307.0,1995037422.0,991101048.0
Barbados,2022,621547.0,3379.0,2284175.0,982522.0,929297.0,372356.0
Barbados,2023,211949.0,1141.0,762646.0,327666.0,310020.0,124960.0
Belarus,2021,673269.0,5261.0,7217727.0,4064247.0,3039334.0,114146.0
Belarus,2022,17166730.0,123617.0,239382002.0,111470526.0,105405659.0,26805252.0
Belarus,2023,2982111.0,21354.0,56549749.0,19579057.0,19227985.0,16810897.0
Belgium,2021,173273571.0,3028422.0,2082047583.0,1000620788.0,983257369.0,144967913.0
Belgium,2022,1495094150.0,11550007.0,9584369179.0,3370224304.0,3328658529.0,3042561912.0
Belgium,2023,258275554.0,1846017.0,1628630530.0,509589358.0,504225429.0,638500922.0
Belize,2022,2531216.0,26960.0,19417146.0,9771731.0,8600884.0,1899057.0
Belize,2023,423861.0,4128.0,3012725.0,1511408.0,1327981.0,307239.0
Bermuda,2021,11569.0,212.0,216849.0,92248.0,90242.0,34359.0
Bermuda,2022,183891.0,1964.0,1986800.0,759112.0,742669.0,485019.0
Bhutan,2022,1399402.0,488.0,49449070.0,17947540.0,17134935.0,14447514.0
Bolivia,2021,42189129.0,1510901.0,664954865.0,389560591.0,323679357.0,27687561.0
Bolivia,2022,261971300.0,6073955.0,3746377098.0,1983350432.0,1627190439.0,415009181.0
Botswana,2022,2900148.0,24863.0,25324096.0,14468965.0,12534141.0,4004405.0
Botswana,2023,1317329.0,11171.0,12636143.0,7268593.0,6133811.0,2014496.0
Brazil,2021,2449648747.0,68234297.0,30663753757.0,17697423710.0,12478397990.0,1031975227.0
Brazil,2022,8928447570.0,190423897.0,124012122445.0,52083423262.0,47032673769.0,26409684952.0
Brazil,2023,1361251262.0,25783415.0,17894208339.0,6995392891.0,6495217613.0,4616409060.0
British Virgin Islands,2022,93212.0,875.0,574546.0,270670.0,251712.0,52164.0
Brunei,2022,3122354.0,1955.0,20295400.0,7440706.0,7290146.0,5212751.0
Brunei,2023,1102683.0,594.0,5154185.0,1803454.0,1785778.0,1359753.0
Burundi,2022,966410.0,300.0,457239.0,419507.0,407782.0,1104.0
Burundi,2023,319036.0,90.0,203329.0,193039.0,189499.0,1740.0
Cambodia,2021,15804522.0,356786.0,3570658887.0,1840417022.0,1647653281.0,222708166.0
Cambodia,2022,8262678.0,199551.0,2281633522.0,956743711.0,916130243.0,427178277.0
Cambodia,2023,970775.0,21392.0,320908273.0,106834517.0,102402391.0,73637554.0
Cameroon,2022,1827433.0,29185.0,31141706.0,26586380.0,21117044.0,1481021.0
Cameroon,2023,124392.0,1965.0,4274312.0,3431986.0,2891802.0,537928.0
Canada,2021,454904287.0,8378815.0,12071064303.0,6925619789.0,4980292921.0,165151593.0
Canada,2022,1076919265.0,11638343.0,24301512746.0,9315117901.0,8802061820.0,6184333025.0
Canada,2023,140167567.0,1548685.0,2997249523.0,1075660718.0,984204543.0,937384262.0
Cape Verde,2022,543362.0,3662.0,7320321.0,3202079.0,2770994.0,3115.0
Cayman Islands,2022,556161.0,603.0,3060239.0,1286369.0,1250291.0,492503.0
Cayman Islands,2023,31472.0,37.0,150816.0,61859.0,60589.0,24064.0
Central African Republic,2022,211606.0,1582.0,24294457.0,22901617.0,21929693.0,2287164.0
Central African Republic,2023,61464.0,452.0,9984388.0,8990971.0,8546279.0,869086.0
Chad,2023,30666.0,776.0,25507997.0,24952107.0,21966372.0,7769566.0
Chile,2021,244196316.0,5427759.0,5105512060.0,2288245671.0,2141629225.0,756558485.0
Chile,2022,1407601432.0,20246624.0,20633039238.0,6529424706.0,6361163413.0,7951604378.0
Chile,2023,188499599.0,2352931.0,2318360698.0,669178084.0,654827470.0,1015619636.0
China,2021,127405.0,5697.0,2422908000.0,1225000000.0,1076308000.0,65730000.0
China,2022,95744402.0,506588.0,96730512000.0,37346844000.0,36356825000.0,21411877000.0
China,2023,490478085.0,539313.0,17448394000.0,6551051000.0,6382789000.0,4132654000.0
Colombia,2021,46065249.0,1166625.0,573842283.0,343223644.0,250742516.0,27223883.0
Colombia,2022,478797230.0,11061261.0,6219935074.0,3322544932.0,2685220715.0,680805565.0
Colombia,2023,19056215.0,427050.0,270359022.0,128842987.0,110796602.0,43925177.0
Cook Islands,2022,24864.0,4.0,161303.0,60285.0,58816.0,40683.0
Cook Islands,2023,7022.0,2.0,40854.0,15112.0,14728.0,10240.0
Costa Rica,2021,5093812.0,65277.0,64262005.0,34817898.0,28702906.0,741201.0
Costa Rica,2022,30501598.0,283754.0,355647047.0,147328706.0,136294165.0,63320875.0
Costa Rica,2023,2349316.0,18227.0,25444953.0,9199622.0,8614799.0,5623326.0
Cote d'Ivoire,2022,933441.0,8927.0,181192441.0,109211738.0,85382696.0,9575291.0
Cote d'Ivoire,2023,264035.0,2500.0,73958330.0,40398331.0,36174108.0,8270080.0
Cuba,2021,10610722.0,91500.0,329728143.0,114349250.0,105606492.0,15006770.0
Cuba,2022,350178293.0,2729689.0,12301808040.0,3421649463.0,3191384660.0,2293431445.0
Cuba,2023,56733371.0,435030.0,2210734505.0,546970337.0,510352235.0,443316921.0
Curacao,2021,39844.0,373.0,433663.0,208751.0,193216.0,31696.0
Curacao,2022,9772727.0,62868.0,58829767.0,25397413.0,23350550.0,10081804.0
Cyprus,2021,4261547.0,19630.0,42091725.0,20249235.0,19026583.0,2815910.0
Cyprus,2022,7301896.0,17772.0,34242681.0,13230197.0,12656726.0,8355758.0
Czechia,2021,403585051.0,6897562.0,2440656629.0,1286413280.0,1128914052.0,73810895.0
Czechia,2022,1498502446.0,14649281.0,6452651581.0,2531938092.0,2497676120.0,1572131526.0
Czechia,2023,294004296.0,2709065.0,1190926960.0,446417061.0,441072049.0,329742421.0
Denmark,2021,106087059.0,813018.0,1852175535.0,970259597.0,819439550.0,71894761.0
Denmark,2022,1045644483.0,2171948.0,4611453110.0,1690979685.0,1675788584.0,1261203180.0
Denmark,2023,193785521.0,463395.0,748615576.0,272638749.0,270626944.0,207971387.0
Dominica,2022,259109.0,1252.0,1267716.0,621587.0,575814.0,70315.0
Dominican Republic,2021,65103539.0,718949.0,2106838419.0,1090979292.0,860554909.0,155357336.0
Dominican Republic,2022,187463518.0,1362523.0,4877774231.0,2247639344.0,1861763741.0,720499220.0
Dominican Republic,2023,11222122.0,74528.0,275582165.0,124201472.0,103329726.0,42946486.0
Ecuador,2021,38415538.0,2427266.0,1800036222.0,978515984.0,821553596.0,31633891.0
Ecuador,2022,201450337.0,8375854.0,8027102751.0,3551043097.0,3261507666.0,1345687929.0
Ecuador,2023,11570285.0,395873.0,433603618.0,168563553.0,156485091.0,114772064.0
Egypt,2022,15405340.0,741273.0,2769572634.0,1513322346.0,1123112486.0,192809417.0
Egypt,2023,3609283.0,173638.0,717150878.0,379251027.0,282879076.0,75331853.0
El Salvador,2021,4889540.0,154186.0,370605060.0,185595537.0,164626567.0,20378496.0
El Salvador,2022,4774705.0,125887.0,324366828.0,141932570.0,132424052.0,50010206.0
Equatorial Guinea,2022,80445.0,915.0,2417828.0,1336339.0,1043764.0,19785.0
Estonia,2021,48257896.0,424585.0,318121972.0,179526468.0,148307469.0,17533770.0
Estonia,2022,200139308.0,923289.0,731224176.0,314728464.0,306896729.0,181705633.0
Estonia,2023,39907202.0,188945.0,136956215.0,56480260.0,55153469.0,38738373.0
Eswatini,2022,365421.0,7077.0,3415474.0,2029492.0,1704418.0,331655.0
Eswatini,2023,370785.0,7114.0,4148433.0,2550060.0,2078954.0,809216.0
Ethiopia,2022,2391658.0,37625.0,168660626.0,146802253.0,126484500.0,4023644.0
Ethiopia,2023,499295.0,7572.0,53514115.0,43791263.0,37337167.0,2679887.0
Faeroe Islands,2021,20876.0,52.0,379044.0,165666.0,161920.0,51458.0
Faeroe Islands,2022,363112.0,391.0,2238111.0,915611.0,897193.0,425307.0
Fiji,2022,2346798.0,30465.0,52893370.0,24714495.0,22285001.0,5347823.0
Fiji,2023,619545.0,7945.0,13972190.0,6405714.0,5767146.0,1537010.0
Finland,2021,1546045.0,12144.0,79958804.0,41965179.0,37186524.0,807101.0
Finland,2022,56013144.0,262511.0,700560403.0,263356390.0,251786172.0,185417841.0
Finland,2023,1462798.0,8936.0,13200849.0,4524371.0,4347907.0,4328571.0
France,2021,1973864738.0,36084951.0,20278177887.0,11169845558.0,8569433604.0,741948455.0
France,2022,10640233803.0,52802389.0,53185076235.0,19874091972.0,19251108697.0,14454698397.0
France,2023,2535400413.0,10585045.0,10169540893.0,3607100528.0,3508568679.0,3125300181.0
French Polynesia,2022,887214.0,7781.0,5530869.0,2253961.0,2187140.0,1073552.0
French Polynesia,2023,77957.0,649.0,502352.0,190908.0,186203.0,112237.0
Gabon,2022,577106.0,3657.0,6782931.0,3695728.0,3076013.0,28343.0
Gabon,2023,48981.0,306.0,572672.0,311244.0,257471.0,2592.0
Gambia,2022,48835.0,1470.0,3164533.0,1900143.0,1520319.0,58139.0
Gambia,2023,25182.0,744.0,2888984.0,1869598.0,910558.0,63041.0
Germany,2021,1038580738.0,22922405.0,23306366973.0,12364192348.0,10348571452.0,1008660342.0
Germany,2022,9665261061.0,52640863.0,66198295519.0,23577551734.0,23008737333.0,20390995960.0
Germany,2023,2496187906.0,11052513.0,12667886838.0,4281393929.0,4194676159.0,4264948478.0
Ghana,2022,3000909.0,26181.0,317074396.0,195269772.0,135805297.0,26472980.0
Ghana,2023,171088.0,1462.0,22384226.0,12853113.0,9806758.0,3102301.0
Gibraltar,2021,387583.0,5891.0,5520443.0,2435098.0,2388765.0,696580.0
Gibraltar,2022,690137.0,4843.0,5455361.0,2002545.0,1960691.0,1492125.0
Greece,2021,89083096.0,1832835.0,1500924532.0,742498000.0,703166070.0,108204840.0
Greece,2022,1418281786.0,10930458.0,7623619484.0,2878320593.0,2765247532.0,2191196223.0
Greece,2023,376517168.0,2324398.0,1435471664.0,515666755.0,496847301.0,460568016.0
Grenada,2022,766995.0,10233.0,3984774.0,1963186.0,1726191.0,295397.0
Guatemala,2021,7497877.0,193058.0,134072356.0,77831009.0,55311105.0,930242.0
Guatemala,2022,90715076.0,1900797.0,1701471365.0,826736093.0,633885157.0,240850115.0
Guatemala,2023,13440381.0,220929.0,221050054.0,97725422.0,77712357.0,45612275.0
Guernsey,2022,109241.0,204.0,677618.0,216813.0,209450.0,244722.0
Guinea,2022,378289.0,4532.0,74617671.0,51567970.0,28938152.0,1595374.0
Guinea,2023,76534.0,934.0,20482424.0,14711357.0,9011354.0,578984.0
Guinea-Bissau,2022,50013.0,1029.0,3436705.0,3181710.0,2071183.0,2074.0
Guinea-Bissau,2023,17913.0,352.0,1186961.0,1100484.0,754995.0,1902.0
Guyana,2021,116401.0,3096.0,2120431.0,1224837.0,870323.0,25271.0
Guyana,2022,2222293.0,43403.0,30493680.0,16269387.0,12341047.0,1883246.0
Guyana,2023,73057.0,1298.0,960133.0,495285.0,381984.0,82864.0
Honduras,2021,379276.0,10432.0,9589064.0,4915362.0,4296605.0,377472.0
Honduras,2022,8312740.0,207084.0,273518681.0,114386276.0,101261452.0,57878078.0
Honduras,2023,1879324.0,44395.0,67852026.0,25877654.0,23114955.0,18860917.0
Hungary,2021,9748695.0,326600.0,133730820.0,60254774.0,57797837.0,17498455.0
Hungary,2022,32737087.0,832236.0,306709866.0,121186501.0,116755510.0,73596120.0
Iceland,2021,544492.0,1325.0,21927618.0,10469560.0,10176036.0,3305391.0
Iceland,2022,1543365.0,1011.0,13184727.0,5178392.0,4882281.0,3982035.0
India,2022,14842850874.0,178176932.0,679177093551.0,342636333499.0,301833465236.0,34708163393.0
India,2023,2949087537.0,35029030.0,145484369679.0,67802666418.0,62807577172.0,14874126089.0
Indonesia,2022,628807508.0,16568115.0,41009048999.0,21178114571.0,16955546056.0,2910954766.0
Indonesia,2023,6726668.0,160746.0,444303130.0,203657535.0,172693321.0,67952274.0
Iran,2021,66003206.0,1404231.0,1049772145.0,604018947.0,437862553.0,7890645.0
Iran,2022,826517356.0,16313149.0,16930435195.0,7453078019.0,6638922474.0,2838434702.0
Iran,2023,22693092.0,434268.0,467739355.0,195443283.0,175608152.0,93958646.0
Iraq,2022,74222148.0,783601.0,580768602.0,337384564.0,236805004.0,6579034.0
Iraq,2023,2465545.0,25375.0,19557364.0,11332925.0,7944775.0,275280.0
Ireland,2021,49428939.0,545920.0,782874253.0,372720815.0,366440333.0,66847652.0
Ireland,2022,541512939.0,2668381.0,3876271797.0,1454812326.0,1434116010.0,1073209967.0
Ireland,2023,108843146.0,550943.0,710842567.0,262829959.0,259872691.0,203577933.0
Isle of Man,2021,98628.0,469.0,1233640.0,480812.0,457348.0,295480.0
Isle of Man,2022,1345831.0,4476.0,10814615.0,4019079.0,3853226.0,2942310.0
Israel,2021,214676753.0,1382146.0,2652194560.0,1126881412.0,1033783973.0,491529175.0
Israel,2022,1453898929.0,3871503.0,6450668932.0,2382778830.0,2179022089.0,1888868013.0
Israel,2023,306291655.0,781096.0,1192575206.0,430230138.0,394153374.0,368191694.0
Italy,2021,541600531.0,14603695.0,10240530489.0,5128939340.0,4717442299.0,558617783.0
Italy,2022,6698386858.0,61022450.0,50075480907.0,18502672986.0,17380901546.0,14753951782.0
Italy,2023,1680596076.0,12343392.0,9483227475.0,3358377707.0,3166246433.0,3086807237.0
Jamaica,2021,370725.0,9857.0,4805736.0,2841370.0,2248398.0,16328.0
Jamaica,2022,23489644.0,520498.0,246717817.0,138723728.0,119291339.0,5961133.0
Jamaica,2023,1073927.0,24359.0,10583604.0,5929575.0,5230433.0,320159.0
Japan,2021,53617465.0,569658.0,6225691701.0,3132434713.0,3080596246.0,12660742.0
Japan,2022,4732774766.0,12568333.0,105288227036.0,37744611258.0,37198379503.0,30345236275.0
Japan,2023,2120697702.0,4426418.0,25023941029.0,6905631048.0,6815017407.0,11303292574.0
Jersey,2021,330975.0,2107.0,4667339.0,2062735.0,1953041.0,651563.0
Jersey,2022,2703600.0,6833.0,13002646.0,4582629.0,4411424.0,3744068.0
Jersey,2023,330752.0,762.0,1333456.0,421780.0,409323.0,368239.0
Jordan,2022,23769439.0,196752.0,139202917.0,66950255.0,63097142.0,9203871.0
Kazakhstan,2022,24954395.0,339768.0,372236333.0,168325079.0,160984945.0,42926309.0
Kenya,2022,13694865.0,235762.0,660859308.0,385721993.0,305863244.0,21591620.0
Kenya,2023,1028198.0,17064.0,69802971.0,42860485.0,32743671.0,5455531.0
Kiribati,2022,29829.0,117.0,1488808.0,783010.0,587749.0,118049.0
Kiribati,2023,10021.0,36.0,435362.0,200507.0,161310.0,73545.0
Kosovo,2022,69167484.0,897324.0,521678002.0,258256350.0,234829745.0,28591907.0
Kosovo,2023,2178874.0,25538.0,14697762.0,7253942.0,6600109.0,843711.0
Kuwait,2021,413327.0,2465.0,6578646.0,3304574.0,3165385.0,108687.0
Kuwait,2022,27280319.0,107570.0,341556611.0,144375527.0,139599760.0,57581324.0
Kuwait,2023,7959968.0,30840.0,99098424.0,41473652.0,40135780.0,17488992.0
Latvia,2021,52045906.0,901907.0,380513459.0,219426170.0,186675905.0,6642837.0
Latvia,2022,130609239.0,1040025.0,543110133.0,256170547.0,247966392.0,93413207.0
Lebanon,2021,7823338.0,99290.0,47285184.0,24335296.0,19888173.0,3061715.0
Lebanon,2022,133231710.0,1303849.0,672354966.0,326158645.0,279306819.0,66893230.0
Lesotho,2022,240205.0,4927.0,8189339.0,6744308.0,6307637.0,625956.0
Lesotho,2023,103470.0,2118.0,3958563.0,3024379.0,2798362.0,501865.0
Liberia,2022,108691.0,4116.0,44998696.0,40854014.0,36869666.0,27099.0
Libya,2022,22970017.0,292318.0,158899662.0,101747580.0,52398913.0,4754169.0
Libya,2023,507154.0,6437.0,3739158.0,2316327.0,1236102.0,186729.0
Liechtenstein,2021,236438.0,3033.0,2569267.0,1213567.0,1184170.0,212025.0
Liechtenstein,2022,2284811.0,11536.0,10119756.0,3817205.0,3762832.0,2684592.0
Liechtenstein,2023,85458.0,348.0,297113.0,107059.0,105842.0,88182.0
Lithuania,2021,98238315.0,1487844.0,718365908.0,395092994.0,336247795.0,21910600.0
Lithuania,2022,369775634.0,2992332.0,1494352449.0,651466275.0,625733636.0,307067837.0
Lithuania,2023,59685121.0,439040.0,208980755.0,90008498.0,86483863.0,43416197.0
Luxembourg,2021,873984.0,10673.0,1581020.0,1191151.0,389855.0,14.0
Madagascar,2022,802962.0,16929.0,23483407.0,19973429.0,19230473.0,984448.0
Madagascar,2023,339212.0,7103.0,13115301.0,11423068.0,11040554.0,622200.0
Malawi,2022,874124.0,26683.0,43772227.0,30145552.0,22990437.0,2992137.0
Malawi,2023,265066.0,8057.0,20955116.0,14833048.0,11817511.0,5498214.0
Malaysia,2021,293919318.0,3357895.0,6005188983.0,3035103114.0,2814224859.0,175496529.0
Malaysia,2022,1587231402.0,12859913.0,25535038581.0,10106062070.0,9817790692.0,5689372898.0
Malaysia,2023,332417004.0,2437400.0,4785990758.0,1856446386.0,1817633806.0,1126311101.0
Maldives,2021,2871046.0,7887.0,24094126.0,12276591.0,11309431.0,508104.0
Maldives,2022,11681332.0,21692.0,66506129.0,29859467.0,28114497.0,8532165.0
Maldives,2023,185723.0,311.0,951511.0,399225.0,385099.0,167187.0
Malta,2022,6142442.0,42916.0,72718632.0,25356699.0,24975023.0,24209103.0
Malta,2023,2804593.0,19735.0,33084011.0,11486755.0,11312880.0,11109611.0
Mauritania,2022,864241.0,13869.0,44727712.0,27169208.0,19241151.0,3628070.0
Mauritania,2023,190313.0,2991.0,12201476.0,6300268.0,4613176.0,1148950.0
Mauritius,2022,4873612.0,19390.0,49092190.0,19996562.0,19251461.0,12032372.0
Mauritius,2023,1474942.0,5217.0,13069565.0,5618865.0,5440710.0,3199279.0
Mexico,2022,103182558.0,5247449.0,3350585514.0,1464738838.0,1281062012.0,878301150.0
