iso_code,continent,location,date,total_cases,stringency_index,population_density
CHN,Asia,China,2020-01-22,442.0,26.39,147.674
CHN,Asia,China,2020-01-23,574.0,44.91,147.674
CHN,Asia,China,2020-01-24,835.0,44.91,147.674
CHN,Asia,China,2020-01-25,1297.0,47.69,147.674
CHN,Asia,China,2020-01-26,1985.0,69.91,147.674
CHN,Asia,China,2020-01-27,2761.0,69.91,147.674
CHN,Asia,China,2020-01-28,4533.0,69.91,147.674
CHN,Asia,China,2020-01-29,5997.0,69.91,147.674
CHN,Asia,China,2020-01-30,7736.0,69.91,147.674
CHN,Asia,China,2020-01-31,9720.0,69.91,147.674
CHN,Asia,China,2020-02-01,11821.0,77.31,147.674
CHN,Asia,China,2020-02-02,14411.0,77.31,147.674
CHN,Asia,China,2020-02-03,17238.0,77.31,147.674
CHN,Asia,China,2020-02-04,20471.0,77.31,147.674
CHN,Asia,China,2020-02-05,24363.0,77.31,147.674
CHN,Asia,China,2020-02-06,28060.0,77.31,147.674
CHN,Asia,China,2020-02-07,31211.0,77.31,147.674
CHN,Asia,China,2020-02-08,34598.0,77.31,147.674
CHN,Asia,China,2020-02-09,37251.0,77.31,147.674
CHN,Asia,China,2020-02-10,40235.0,75.46,147.674
CHN,Asia,China,2020-02-11,42708.0,75.46,147.674
CHN,Asia,China,2020-02-12,44730.0,75.46,147.674
CHN,Asia,China,2020-02-13,59882.0,75.46,147.674
CHN,Asia,China,2020-02-14,63932.0,75.46,147.674
CHN,Asia,China,2020-02-15,66576.0,75.46,147.674
CHN,Asia,China,2020-02-16,68584.0,75.46,147.674
CHN,Asia,China,2020-02-17,70635.0,75.46,147.674
CHN,Asia,China,2020-02-18,72528.0,75.46,147.674
CHN,Asia,China,2020-02-19,74278.0,75.46,147.674
CHN,Asia,China,2020-02-20,74675.0,75.46,147.674
CHN,Asia,China,2020-02-21,75568.0,75.46,147.674
CHN,Asia,China,2020-02-22,76393.0,75.46,147.674
CHN,Asia,China,2020-02-23,77042.0,75.46,147.674
CHN,Asia,China,2020-02-24,77262.0,75.46,147.674
CHN,Asia,China,2020-02-25,77779.0,81.02,147.674
CHN,Asia,China,2020-02-26,78190.0,81.02,147.674
CHN,Asia,China,2020-02-27,78630.0,81.02,147.674
CHN,Asia,China,2020-02-28,78959.0,81.02,147.674
CHN,Asia,China,2020-02-29,79389.0,81.02,147.674
CHN,Asia,China,2020-03-01,79968.0,81.02,147.674
