location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Afghanistan,116894.16516245487,180.68593615185506,924645.2,6618238.775510204,6122551.234042553,516291.2,27.92973023255814,54.422,1803.987,2021.114655172414
Africa,7053031.559928443,11254.318103448275,,352238637.9517766,224222510.11928934,33513994.54233871,,,,2021.114655172414
Albania,168189.82084095065,287.52758620689656,559644.2569444445,1371699.1263537905,840471.8214285715,203666.7125,42.59831627906977,104.871,11803.431,2021.114655172414
Algeria,164489.81012658228,234.0198275862069,230553.0,10657044.857142856,5908922.444444444,355090.2727272727,52.924297674418604,17.348,13913.839,2021.114655172414
American Samoa,4867.242990654206,7.172413793103448,,,,,,278.205,,2021.114655172414
Andorra,22196.155454545453,41.28448275862069,181496.1447368421,85780.8813559322,41476.11111111111,38065.47619047619,34.087720930232564,163.755,,2021.114655172414
Angola,55718.347623485555,90.75603448275862,1428346.1,10675695.533333333,6873528.022988506,888448.0666666667,52.208818604651164,23.89,5819.495,2021.114655172414
Anguilla,1459.8661710037175,3.3655172413793104,41519.0,18609.926470588234,9294.764705882353,2452.551724137931,,,,2021.114655172414
Antigua and Barbuda,3934.893382352941,7.86367558239862,7826.583333333333,78766.18947368421,44326.14893617021,9838.0,,231.845,21490.943,2021.114655172414
Argentina,5145754.833333333,8674.401554404145,13807351.844827587,70175550.17559153,30535412.495641343,14629771.605230385,53.454139534883716,16.177,18933.907,2021.1192109777016
Armenia,258515.5395095368,385.61034482758623,1187205.780167264,951679.875,536917.6888888889,19846.928571428572,,102.931,8787.58,2021.114655172414
Aruba,20143.077490774907,38.047454702329595,579.0,155127.96062992126,81653.2297029703,,38.997497674418604,584.8,35973.781,2021.1195184866724
Asia,84934643.75150992,254179.4948275862,,5428255444.078239,2438807979.396088,808278018.7181208,,,,2021.122746781116
Australia,3015953.459578207,9810.948275862069,26907363.238663483,34070215.97644927,12609079.587804878,10534167.547337279,48.11901395348838,3.202,44648.71,2021.117900172117
Austria,1980703.0298372514,5123.635344827586,61916210.08787129,13655723.473214285,5508864.473214285,3083665.211009174,50.03847441860465,106.749,45436.686,2021.122746781116
Azerbaijan,445027.68631006347,714.4224137931035,4821270.412017168,8372882.847619047,3852063.479115479,2360386.4,61.37413953488372,119.309,15847.419,2021.114655172414
Bahamas,19715.402394106815,32.3198275862069,192901.84732824427,209728.45454545456,109453.04918032787,27114.36,56.860241860465116,39.497,27717.847,2021.114655172414
Bahrain,320221.33032490977,600.5293103448275,3694617.4676375403,2582541.230490018,989425.8528428094,975773.9831932773,39.3582511627907,1935.9070000000002,43290.705,2021.114655172414
Bangladesh,1192047.6922374428,1756.7853448275862,5820977.767253045,128601787.21203439,65759505.77808989,33704126.854166664,50.94444651162791,1265.036,3523.984,2021.1211340206185
Barbados,36182.836866359445,91.9353448275862,632558.4166666666,238156.4097744361,128505.02290076336,62164.5,48.7778511627907,664.463,16978.068,2021.114655172414
Belarus,535558.5938349955,856.928448275862,5623762.896057348,7987020.859375,3738390.4032258065,2035202.6923076923,23.815069767441862,46.858,17167.967,2021.114655172414
Belgium,2013090.1143617022,4075.685344827586,14326721.902497027,18902804.99239544,7437312.854245881,7164851.586142322,40.828595348837204,375.564,42658.576,2021.1162790697674
Belize,31446.316326530614,61.091458153580675,296181.9464285714,255154.1656441718,146376.14110429448,48093.520833333336,48.951851162790696,16.426,7824.362,2021.114655172414
Benin,15519.515653775323,24.13706896551724,604310.0,1803755.5714285714,1624945.15,,32.20386046511628,99.11,2064.236,2021.114655172414
Bermuda,7289.454293628809,16.21896551724138,15191.454545454546,77902.60294117648,35843.98333333333,27257.85,40.83536744186046,1308.82,50669.315,2021.114655172414
Bhutan,20251.60164083865,54.03623813632442,553550.3948717949,943376.4809160306,532536.928,555673.6153846154,52.04760930232558,21.188,8708.597,2021.114655172414
Bolivia,551154.4170485793,1029.2844827586207,1652665.1447852761,8518640.169463087,4745856.055369128,1233138.5571030641,43.119106976744185,10.202,6885.829,2021.114655172414
Bonaire Sint Eustatius and Saba,4633.152336448598,10.198446937014667,,21618.0,12417.5,,,,,2021.114655172414
Bosnia and Herzegovina,224506.36429872495,346.31810344827585,626761.8742268041,677503.2,449873.8181818182,71551.0,39.438372093023254,68.496,11713.895,2021.114655172414
