location,gdp_per_capita,hosp_patients
United States,54225.45,46401.31
France,38605.67,17506.69
Japan,39002.22,12329.37
Italy,35220.08,11030.60
United Kingdom,39753.24,9953.67
Poland,27216.44,9756.67
Spain,34272.36,6605.65
South Africa,12294.88,6145.78
Romania,23313.20,4509.49
South Korea,35938.37,3510.05
Canada,44017.59,3360.63
Malaysia,26808.16,2876.73
Bulgaria,18563.31,2645.00
Serbia,14048.88,2218.96
Czechia,32605.91,1976.91
Belgium,42658.58,1798.95
Australia,44648.71,1316.31
Austria,45436.69,1275.27
Portugal,27936.90,1232.34
Slovakia,30155.15,1015.88
Sweden,46949.28,969.27
Switzerland,57410.17,933.88
Croatia,22669.80,933.09
Israel,33132.32,847.20
Netherlands,48472.54,765.90
Bolivia,6885.83,703.76
Lithuania,29524.26,698.20
Ireland,67335.29,422.06
Finland,40585.72,379.49
Denmark,46682.51,358.65
Slovenia,31400.84,332.17
Estonia,29481.25,206.47
Norway,64800.06,141.59
Cyprus,32415.13,103.94
Luxembourg,94277.96,53.68
United States,54225.45,46401.31
France,38605.67,17506.69
Japan,39002.22,12329.37
Italy,35220.08,11030.60
United Kingdom,39753.24,9953.67
Poland,27216.44,9756.67
Spain,34272.36,6605.65
South Africa,12294.88,6145.78
Romania,23313.20,4509.49
South Korea,35938.37,3510.05
Canada,44017.59,3360.63
Malaysia,26808.16,2876.73
Bulgaria,18563.31,2645.00
Serbia,14048.88,2218.96
Czechia,32605.91,1976.91
Belgium,42658.58,1798.95
Australia,44648.71,1316.31
Austria,45436.69,1275.27
Portugal,27936.90,1232.34
Slovakia,30155.15,1015.88
Sweden,46949.28,969.27
Switzerland,57410.17,933.88
Croatia,22669.80,933.09
Israel,33132.32,847.20
Netherlands,48472.54,765.90
Bolivia,6885.83,703.76
Lithuania,29524.26,698.20
Ireland,67335.29,422.06
Finland,40585.72,379.49
Denmark,46682.51,358.65
Slovenia,31400.84,332.17
Estonia,29481.25,206.47
Norway,64800.06,141.59
Cyprus,32415.13,103.94
Luxembourg,94277.96,53.68
