location,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Afghanistan,209245,7879,14663616,13135439,12416770,516292
Albania,250868,3322,2535144,1209523,1117986,202563
Algeria,242250,6514,13454559,7305136,5939062,307621
Andorra,40960,152,149229,57771,53195,38066
Angola,102977,1917,22033082,13946947,7629646,1067680
Anguilla,2820,9,22699,10517,9790,2359
Antigua and Barbuda,9008,145,136512,64290,62384,9838
Argentina,6881757,111907,69951101,30480635,23083801,14523554
Armenia,383664,8261,1917891,1042607,859350,18213
Australia,1623987,3919,45375669,20694061,19108804,5572804
Austria,2770127,16773,14028215,5657183,5176118,3083666
Azerbaijan,711827,9011,12487067,5251870,4748084,2360387
Bahamas,34184,792,341182,167023,158448,27115
Bahrain,583794,1487,3425506,1233487,1216245,975774
Bangladesh,1965301,29171,272458787,130336901,111324588,31121772
Barbados,104187,565,380853,163774,154915,62165
Belarus,946460,6829,13779522,6141538,5803318,1987741
Belgium,3607947,30758,24897093,9139391,9018992,7164852
Belize,64241,676,487606,245286,215845,47963
Bermuda,10859,121,122425,47298,46273,28855
Bhutan,53824,19,1901888,690290,659036,555674
Bolivia,847244,21128,12287833,6609781,5434178,1233139
Botswana,324422,2772,2920019,1672120,1435997,462993
Brazil,29218688,652390,395802947,176092294,151390572,73527682
British Virgin Islands,6658,63,41039,19334,17980,3726
Brunei,201193,122,1211885,440199,432187,312977
Burundi,49441,15,25407,23560,22973,110
Cambodia,115383,2663,28447930,13382467,12286572,3334212
Cameroon,121990,1947,2213502,1876148,1500553,126185
Canada,2628917,33909,61902244,27227042,23217861,11457342
Cape Verde,60374,407,813369,355787,307889,347
Cayman Islands,26711,30,145958,61284,59586,23481
Central African Republic,15171,113,1904381,1771811,1693110,175348
Chad,7667,194,6377000,6238027,5491593,1942392
Chile,3376693,51427,51480573,17407062,16802973,17841803
China,16752855,30046,3331480400,1289225572,1251883486,731721743
Colombia,5848589,136075,75958456,40802275,32760859,8085534
Cook Islands,6378,2,40432,15080,14709,10185
Costa Rica,843217,8162,9896756,4252139,3858042,1548565
Cote d'Ivoire,85534,817,18225056,10686434,8682629,1274670
Cuba,1090137,8502,38752665,10660494,9940845,7184740
Curacao,41230,266,249007,107589,98924,42494
Cyprus,218179,706,1440272,631688,597799,210787
Czechia,3389031,37432,15562092,6581433,6277257,3048897
Denmark,1861020,4770,9975442,4057923,3825526,2131493
Dominica,13638,66,66722,32716,30306,3701
Dominican Republic,521323,4261,14348212,6843518,5584286,1815817
Ecuador,783291,34888,31964931,14635897,13207310,4648268
Egypt,513909,24728,94235771,51150632,37999772,7247062
El Salvador,130598,3785,9391512,4426056,4014198,951199
Equatorial Guinea,16089,183,483566,267268,208753,3957
Estonia,364943,1946,1501649,697134,646023,301238
Eswatini,73621,1420,756391,457956,378338,114088
Ethiopia,481826,7533,37029124,31765586,27303612,1117256
Faeroe Islands,14769,18,100660,41588,40736,18338
Fiji,67417,873,1519672,707278,637549,156474
Finland,843172,4052,11338858,4426371,4190295,2722194
France,19649156,129018,108473146,44942981,40634386,23763875
French Polynesia,74244,649,464094,188067,182565,91215
Gabon,48161,305,565816,308229,256422,2380
Gambia,12337,369,1008920,628291,405147,20197
Germany,19849669,130250,153642932,60485922,56469151,38593391
Ghana,166948,1455,17866244,10953837,7663793,1556594
Gibraltar,9979,100,101628,41090,40273,20266
Greece,3495143,27993,19591866,7674370,7356700,5120537
Grenada,17045,228,88551,43627,38360,6565
Guatemala,852316,17671,15699190,7651088,5854265,2193837
Guernsey,27311,51,169405,54204,52363,61181
