iso_code,location,continent,total_cases
ABW,Aruba,North America,20340.33668801464
AFG,Afghanistan,Asia,117640.42256042972
AGO,Angola,Africa,56130.70240295749
AIA,Anguilla,North America,1480.1400921658985
ALB,Albania,Europe,169539.69537624661
AND,Andorra,Europe,22404.729486023443
ARE,United Arab Emirates,Asia,577320.4024496938
ARG,Argentina,South America,5185585.745257452
ARM,Armenia,Asia,260050.52342342344
ASM,American Samoa,Oceania,4924.36580882353
ATG,Antigua and Barbuda,North America,3977.3181403828626
AUS,Australia,Oceania,3081587.9136878815
AUT,Austria,Europe,2012892.8430493274
AZE,Azerbaijan,Asia,448134.57823741005
BDI,Burundi,Africa,21919.175
BEL,Belgium,Europe,2034692.9621811786
BEN,Benin,Africa,15622.086757990868
BES,Bonaire Sint Eustatius and Saba,North America,4693.003707136238
BFA,Burkina Faso,Africa,13370.821234119781
BGD,Bangladesh,Asia,1198943.4030797102
BGR,Bulgaria,Europe,626277.919384058
BHR,Bahrain,Asia,323254.0376007162
BHS,Bahamas,North America,19861.503196347032
BIH,Bosnia and Herzegovina,Europe,225948.33333333334
BLM,Saint Barthelemy,North America,2264.8339350180504
BLR,Belarus,Europe,539269.3003597122
BLZ,Belize,North America,31771.910763569456
BMU,Bermuda,North America,7384.539377289378
BOL,Bolivia,South America,556417.5109090909
BRA,Brazil,South America,19177980.654398564
BRB,Barbados,North America,36764.18555758684
BRN,Brunei,Asia,75016.90834845735
BTN,Bhutan,Asia,20596.47377938517
BWA,Botswana,Africa,162480.59111933396
CAF,Central African Republic,Africa,10120.281306715064
CAN,Canada,North America,1983910.72513089
CHE,Switzerland,Europe,1738291.3742166518
CHL,Chile,South America,2143365.459532374
CHN,China,Asia,8328192.207191781
CIV,Cote d'Ivoire,Africa,53154.99727767695
CMR,Cameroon,Africa,76846.0814479638
COD,Democratic Republic of Congo,Africa,52402.870118074476
COG,Congo,Africa,14920.417502278942
COK,Cook Islands,Oceania,5435.245569620253
COL,Colombia,South America,3850544.846781505
COM,Comoros,Africa,4927.65619047619
CPV,Cape Verde,Africa,34731.854395604394
CRI,Costa Rica,North America,532215.0018115942
CUB,Cuba,North America,575852.1665150137
CUW,Curacao,North America,21420.71741112124
CYM,Cayman Islands,North America,11095.073770491803
CYP,Cyprus,Europe,233959.25862068965
CZE,Czechia,Europe,2238159.191891892
DEU,Germany,Europe,11985808.543664383
DJI,Djibouti,Africa,10900.766910420476
DMA,Dominica,North America,6181.141544117647
DNK,Denmark,Europe,1313400.9165170556
DOM,Dominican Republic,North America,364380.8313796213
DZA,Algeria,Africa,165353.66816143497
ECU,Ecuador,South America,532398.6486486486
EGY,Egypt,Africa,299464.9538598048
ERI,Eritrea,Africa,5776.945871559633
ESP,Spain,Europe,6203411.952627046
EST,Estonia,Europe,265677.8626570916
ETH,Ethiopia,Africa,295319.456284153
FIN,Finland,Europe,466930.56678082194
FJI,Fiji,Oceania,34050.07502287283
